,Unnamed: 0,id,comment_text
0,0,00001cee341fdb12,"Yo bitch Ja Rule is more succesful then you'll ever be whats up with you and hating you sad mofuckas...i should bitch slap ur pethedic white faces and get you to kiss my ass you guys sicken me. Ja rule is about pride in da music man. dont diss that shit on him. and nothin is wrong bein like tupac he was a brother too...fuckin white boys get things right next time.,"
1,1,0000247867823ef7,"== From RfC == 

 The title is fine as it is, IMO."
2,2,00013b17ad220c46,""" 

 == Sources == 

 * Zawe Ashton on Lapland —  /  """
3,3,00017563c3f7919a,":If you have a look back at the source, the information I updated was the correct form. I can only guess the source hadn't updated. I shall update the information once again but thank you for your message."
4,4,00017695ad8997eb,I don't anonymously edit articles at all.
5,6,00024115d4cbde0f,"Please do not add nonsense to Wikipedia. Such edits are considered vandalism and quickly undone. If you would like to experiment, please use the sandbox instead. Thank you.   -"
6,8,00025358d4737918,""" 
 Only a fool can believe in such numbers. 
 The correct number lies between 10 000 to 15 000. 
 Ponder the numbers carefully.  

 This error will persist for a long time as it continues to reproduce... The latest reproduction I know is from ENCYCLOPÆDIA BRITANNICA ALMANAC 2008 wich states 
 Magnittude: 8.7 (fair enough) 
 victims: 70 000 (today 10 000 to 15 000 is not """"a lot"""" so I guess people just come out with a number that impresses enough, I don't know. But I know this: it's just a shameless lucky number that they throw in the air. 
 GC 

 """
7,9,00026d1092fe71cc,"== Double Redirects == 

 When fixing double redirects, don't just blank the outer one, you need edit it to point it to the final target, unless you think it's inappropriate, in which case, it needs to be nominated at WP:RfD"
8,10,0002eadc3b301559,I think its crap that the link to roggenbier is to this article. Somebody that knows how to do things should change it.
9,12,0003806b11932181,", 25 February 2010 (UTC) 

 :::Looking it over, it's clear that  (a banned sockpuppet of ) ignored the consensus (&, fwiw, policy-appropriate) choice to leave the page at Chihuahua (Mexico) and the current page should be returned there. Anyone have the time to fix the incoming links? -  18:24"
10,15,000634272d0d44eb,"==Current Position== 
 Anyone have confirmation that Sir, Alfred is no longer at the airport and is hospitalised?"
11,18,000834769115370c,":: Wallamoose was changing the cited material to say things the original source did not say. In response to his objections, I modified the article as we went along. I was not just reverting him. I repeatedly asked him to use the talk page. I've been trying to add to the article for a long time.  It's so thin on content. This is wrong."
12,20,00084da5d4ead7aa,"==Indefinitely blocked== 
 I have indefinitely blocked this account."
13,24,00097b6214686db5,":yeah, thanks for reviving the tradition of pissing all over articles because you want to live out your ethnic essentialism. Why let mere facts get into the way of enjoying that."
14,25,0009aef4bd9e1697,"MLM Software,NBFC software,Non Banking Financial Company,NBFC software company,NBFC software in india,software for banking,Gold loan software.MLM Software  

 '''SEO Services 
 Search Engine Optimization 
 www.liveindiatech.com 

 According to a recenBold textt survey people have moved away from searching print media for their needs. They use search engines to find the products and services. The first step to have a successful presence over the internet is creating your own website but that is not enough. When someone searches for the products/services that you offer your name needs to be listed high in the search engine.  

 Live India Tech guarantees you search engine optimization using which your organizations name will feature in the top ten listing in all the search engines. This will ensure that the traffic to your site will increase exponentially aiding you in the sales of more products and services.  

 We have invested enough resources to develop an SEO system that is far superior to anything else in the market. 

 www.liveindiatech.com"
15,27,000a6c6d4e89b9bc,"==================== 
 Deception is the way of the Ninja..... 

 Hence, Frank Dux is an amazing Ninja"
16,30,000c50dceb1eed2b,""" 
 *Support Per Jimbo and WP:google """"Climatic Research Unit email controversy"""" =4,930 results, """"climategate"""" =3,210,000 results. MFA  

  
 """
17,32,000ce41d86f2b886,":::::I have added more wikilinks to my sections and included more secondary sources as you suggested. For all the citations under human disease section, I went through them and exchanged review articles for the primary sources. Thanks again for all your input!"
18,35,000d60becb7d1a67,"I've deleted the page , as we have no evidence that you are the person named on that page, and its content goes against Wikipedia's policies for the use of user pages."
19,36,000fc381d4895598,"== Nation Radio - request for comment == 

 Hi Dravecky, I'm just contacting a couple of editors with more specialist knowledge to resolve a discussion at Talk:Nation Radio about naming a broadcast area. I'd be interested in your feedback. Thanks"
20,37,000ff37cf57ab537,""""""" (per your user page)"""
21,39,0011c58fcfd6bf91,""" 

 *@EdJohnston. Your question was about figures in summary. Here are a few points about this. 
 #Yes, the number of victims is important in an article about political repression. Therefore, the number (or a range of numbers) should be provided in the introduction. 
 #The numbers of people """"killed"""" and the number of people """"who died as a result of Communist policies"""" are different. The second number is significantly greater: it is more than 60 million (rather than 20 million) in the Soviet Union alone according to The Guinness Book of Records. 
 #I did not see any estimates of the number of people killed by all Communist regimes except """"Black book"""", which qualifies as a secondary RS written by a group of European historians. It tells exactly this: """"100 million people killed by all Communist regimes"""". They note that the number is approximate, which also should be noted in the introduction. If there are any other secondary RS that tell """"N million people killed by all Communist regimes"""", they must be also used to obtain a range of numbers. 
 #As a side note to others, it is grossly inappropriate to discuss sanctions at article talk pages. If you think that sanctions are needed, please go to appropriate administrative noticeboards and report your concerns there.   """
22,42,0012706ac77a7b37,"== Thanks for the Barnstar! == 

 Thank you for awarding me with the RickK Anti-Vandilism Barnstar!"
23,44,0012bbcbd6958302,""" 

 Look, Gerry Spence has NOT """"never lost a case, criminal or civil."""" That is simply untrue. He prevailed in two cases about which he wrote books (Silkwood and the Miss Wyoming vs. Penthouse cases). He won both massively at trial, and both were completely overturned. In 1985 he represented then-15 year old Michael Jones charged with murder as a juvenile. In Oregon the trial was a criminal trial in EVERY sense except that the juvenile neither received a jury (which Spence argued at the time he was entitled to) and the sentencing authority then ended at age 21. Chief Justice Alex Kozinski of the 9Th U.S. Circuit court mentions the arrogance of trial lawyers who claim to """"never have lost a cast.""""   """"n19. There's one famous exception: Gerry Spence, at least to hear him tell it. See Gerry Spence, Gunning for Justice 47 (1982). But see Sherrie F. Nachman, True Lies, Starring Gerry Spence, Am. Law., Sept. 1994, at 13 (disputing Spence's claim made in Gunning for Justice and widely reported by the media, and quoting one victorious Spence adversary, """"It's a lie."""")."""""""
24,50,001421530a1aa622,I have been perfectly civil in what quite clearly idiotic trolling.
25,52,00148cabab3f0abd,"==Category:Italian Jews== 

 :Category:Italian Jews, which you created, has been nominated for possible deletion, merging, or renaming. If you would like to participate in the discussion, you are invited to add your comments at the category's entry on the Categories for discussion page. Thank you."
26,53,0015d9af6dbc03c0,"== Someday Never == 

 Why was the image deleted? Were there copyright issues?"
27,54,00166b5f5bf2d758,""", 5 December 2012 (UTC) 

 :::The above is, to the best of my knowledge, an accurate disposition of the facts.  The only personal opinion I offered appeared in the last sentence: """"Systems of institutionalized racism always result in injustice, and backlash is a predictable result.""""  Have noted it as such. 

 :::I think it is inaccurate to say that """"white privilege"""" and """"white supremacy"""" are interchangable terms.  In fact the usefulness of """"white privilege"""" as a concept may be rooted in the """"invisible, weightless knapsack"""" analogythose who would never entertain white supremacist ideology may still benefit from some degreee of """"white privilege.""""   17:40"""
28,55,0016909ad784fe8d,""":I see that you moved  to Talat Hamdani. Perhaps you had not read the MfD notice on the page, which says """"please do not blank, merge, or move it, or remove this notice, while the discussion is in progress"""". (My emphasis.)    

 """
29,57,0016ec04bb0f869a,"== Hebrean-Judeo-Christian == 

 What is Hebrean-Judeo-Christian) supposed to mean?"
30,61,0018af86a1bdfef3,"""== Quidam Software == 

 Hello Stifle, 

 I understand why you erased the article about Quidam Software. It was too short, without references etc. But actually it is my first article on wikipedia and I don't know how to ask that the article is """"under construction"""". Can you let me know please? 

 Thanks for your help.—Preceding unsigned comment added by   •   
 :Thanks for your message and welcome to Wikipedia. Please sign your messages by typing ~~~~ at the end. 
 :Quidam software was deleted under the criteria for speedy deletion, specifically number 1 under Articles, as it was a short article with little or no context. 
 :Articles on Wikipedia should generally be more than a single sentence long and need to include citations from reliable sources to comply with the verifiability policy. 
 :You shouldn't put an article up before you've got these added, but if you want to work on an article for a while, you can create a user subpage and work on the article there, before moving it to the desired article title when it's ready. 
 :I hope that this experience hasn't put you off and that you enjoy being a Wikipedian. If you require further help using Wikipedia, please place a message on Wikipedia:Help desk or just put  and a message on your talk page and someone will show up shortly to help.   """
31,63,00199e012d99a8b9,"Her body is perfect. Face, boobs, hips, all of it."
32,64,001a9a0fce445525,":::::I am simply relating that the research and professional organizations are essentially unanimous in indicating that these laws are not having the intended effects, and that they may even be making the problem worse. You are entitled to your opinion, of course, but your comment is making me concerned about your ability to keep your biases out of your edits."
